,Car Make,Probability,Alt1,Alt2
7246,Mercedes-Benz E-Class Sedan 2012,44.1,Hyundai Genesis Sedan 2012,Mercedes-Benz S-Class Sedan 2012
7247,Aston Martin V8 Vantage Convertible 2012,39.2,Chevrolet Corvette ZR1 2012,FIAT 500 Abarth 2012
7248,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,43.7,Ford Edge SUV 2012,Ford F-450 Super Duty Crew Cab 2012
7249,Nissan 240SX Coupe 1998,67.6,Nissan Juke Hatchback 2012,Hyundai Tucson SUV 2012
7250,FIAT 500 Abarth 2012,98.0,Bugatti Veyron 16.4 Coupe 2009,Dodge Challenger SRT8 2011
7251,Chrysler PT Cruiser Convertible 2008,99.0,Maybach Landaulet Convertible 2012,Audi S5 Convertible 2012
7252,Volvo XC90 SUV 2007,17.1,Hyundai Azera Sedan 2012,Mercedes-Benz E-Class Sedan 2012
7253,Ford Edge SUV 2012,90.0,Cadillac Escalade EXT Crew Cab 2007,Hyundai Veracruz SUV 2012
7254,Dodge Challenger SRT8 2011,40.3,Chrysler 300 SRT-8 2010,Aston Martin V8 Vantage Coupe 2012
7255,Chrysler 300 SRT-8 2010,97.5,Volvo XC90 SUV 2007,Ford Edge SUV 2012
7256,Dodge Dakota Club Cab 2007,43.7,Dodge Caliber Wagon 2007,Dodge Dakota Crew Cab 2010
7257,AM General Hummer SUV 2000,70.3,HUMMER H2 SUT Crew Cab 2009,HUMMER H3T Crew Cab 2010
7258,Daewoo Nubira Wagon 2002,81.8,Mitsubishi Lancer Sedan 2012,Rolls-Royce Phantom Sedan 2012
7259,Chrysler 300 SRT-8 2010,15.6,Rolls-Royce Ghost Sedan 2012,Dodge Challenger SRT8 2011
7260,Chrysler PT Cruiser Convertible 2008,49.1,Nissan NV Passenger Van 2012,Tesla Model S Sedan 2012
7261,Infiniti QX56 SUV 2011,51.6,Honda Odyssey Minivan 2012,Chrysler Town and Country Minivan 2012
7262,Audi RS 4 Convertible 2008,43.6,Hyundai Veloster Hatchback 2012,BMW M5 Sedan 2010
7263,Suzuki Kizashi Sedan 2012,38.8,Chrysler Town and Country Minivan 2012,Audi S4 Sedan 2007
7264,Acura TL Sedan 2012,33.9,Chrysler 300 SRT-8 2010,Rolls-Royce Ghost Sedan 2012
7265,Chrysler 300 SRT-8 2010,73.6,Hyundai Elantra Touring Hatchback 2012,Infiniti G Coupe IPL 2012
7266,Ford Freestar Minivan 2007,16.8,Hyundai Elantra Sedan 2007,Chevrolet Malibu Hybrid Sedan 2010
7267,Maybach Landaulet Convertible 2012,87.4,Cadillac CTS-V Sedan 2012,Tesla Model S Sedan 2012
7268,Daewoo Nubira Wagon 2002,67.1,Plymouth Neon Coupe 1999,Chevrolet Impala Sedan 2007
7269,Audi S4 Sedan 2012,85.3,Chevrolet Corvette ZR1 2012,Volkswagen Beetle Hatchback 2012
7270,Bentley Arnage Sedan 2009,83.1,FIAT 500 Abarth 2012,Ford GT Coupe 2006
7271,Hyundai Accent Sedan 2012,37.0,Hyundai Elantra Sedan 2007,Nissan Leaf Hatchback 2012
7272,Chevrolet Monte Carlo Coupe 2007,55.3,Aston Martin V8 Vantage Convertible 2012,Dodge Journey SUV 2012
7273,Daewoo Nubira Wagon 2002,19.7,Isuzu Ascender SUV 2008,Ford F-150 Regular Cab 2007
7274,Chevrolet Camaro Convertible 2012,35.4,BMW X6 SUV 2012,Audi A5 Coupe 2012
7275,Hyundai Tucson SUV 2012,23.5,Jeep Compass SUV 2012,Dodge Challenger SRT8 2011
7276,Mercedes-Benz Sprinter Van 2012,49.4,MINI Cooper Roadster Convertible 2012,Acura TL Sedan 2012
7277,Bentley Arnage Sedan 2009,35.4,MINI Cooper Roadster Convertible 2012,FIAT 500 Abarth 2012
7278,Mitsubishi Lancer Sedan 2012,23.3,Mercedes-Benz Sprinter Van 2012,Tesla Model S Sedan 2012
7279,GMC Acadia SUV 2012,97.7,Volvo XC90 SUV 2007,GMC Terrain SUV 2012
7280,Jeep Wrangler SUV 2012,54.1,Aston Martin V8 Vantage Convertible 2012,Aston Martin Virage Convertible 2012
7281,Suzuki Aerio Sedan 2007,58.3,Jaguar XK XKR 2012,Jeep Patriot SUV 2012
7282,Rolls-Royce Phantom Sedan 2012,36.7,Rolls-Royce Ghost Sedan 2012,BMW 3 Series Wagon 2012
7283,Chrysler Town and Country Minivan 2012,57.0,smart fortwo Convertible 2012,Audi S4 Sedan 2007
7284,Lamborghini Gallardo LP 570-4 Superleggera 2012,92.5,Ford Fiesta Sedan 2012,Hyundai Veloster Hatchback 2012
7285,Chevrolet Traverse SUV 2012,85.5,Dodge Challenger SRT8 2011,Hyundai Veracruz SUV 2012
7286,Bentley Arnage Sedan 2009,98.5,Mercedes-Benz 300-Class Convertible 1993,Audi V8 Sedan 1994
7287,Tesla Model S Sedan 2012,94.8,Lamborghini Reventon Coupe 2008,Hyundai Genesis Sedan 2012
7288,BMW M5 Sedan 2010,52.4,Nissan NV Passenger Van 2012,Hyundai Tucson SUV 2012
7289,Audi S6 Sedan 2011,54.3,Audi S5 Coupe 2012,BMW 3 Series Wagon 2012
7290,Nissan NV Passenger Van 2012,35.1,FIAT 500 Abarth 2012,Spyker C8 Coupe 2009
7291,Chevrolet HHR SS 2010,57.0,Nissan NV Passenger Van 2012,Isuzu Ascender SUV 2008
7292,Dodge Durango SUV 2012,37.1,Mercedes-Benz E-Class Sedan 2012,Hyundai Genesis Sedan 2012
7293,Nissan NV Passenger Van 2012,67.9,FIAT 500 Abarth 2012,smart fortwo Convertible 2012
7294,Aston Martin Virage Convertible 2012,57.0,Ford GT Coupe 2006,Mercedes-Benz E-Class Sedan 2012
7295,Ford E-Series Wagon Van 2012,91.7,Volvo 240 Sedan 1993,Nissan NV Passenger Van 2012
7296,Chrysler Town and Country Minivan 2012,48.5,Chrysler 300 SRT-8 2010,Dodge Magnum Wagon 2008
7297,Ford E-Series Wagon Van 2012,99.6,Ford F-150 Regular Cab 2012,Dodge Ram Pickup 3500 Crew Cab 2010
7298,Acura TL Sedan 2012,24.9,Audi S4 Sedan 2007,Infiniti G Coupe IPL 2012
7299,Aston Martin Virage Convertible 2012,38.9,Chrysler 300 SRT-8 2010,Chevrolet Corvette Ron Fellows Edition Z06 2007
7300,Bentley Arnage Sedan 2009,46.4,BMW M5 Sedan 2010,Mercedes-Benz E-Class Sedan 2012
7301,Daewoo Nubira Wagon 2002,10.1,Isuzu Ascender SUV 2008,Ford Freestar Minivan 2007
7302,Jeep Compass SUV 2012,84.5,HUMMER H2 SUT Crew Cab 2009,HUMMER H3T Crew Cab 2010
7303,Suzuki SX4 Sedan 2012,97.8,Bentley Arnage Sedan 2009,Dodge Durango SUV 2012
7304,Audi TTS Coupe 2012,26.6,Audi S5 Coupe 2012,Dodge Caliber Wagon 2012
7305,Chevrolet Monte Carlo Coupe 2007,8.3,Aston Martin V8 Vantage Coupe 2012,Lincoln Town Car Sedan 2011
7306,Mercedes-Benz E-Class Sedan 2012,42.5,Mercedes-Benz Sprinter Van 2012,Chrysler Town and Country Minivan 2012
7307,BMW M5 Sedan 2010,27.2,Daewoo Nubira Wagon 2002,GMC Savana Van 2012
7308,Mercedes-Benz 300-Class Convertible 1993,18.6,BMW M5 Sedan 2010,Audi RS 4 Convertible 2008
7309,Hyundai Elantra Sedan 2007,24.5,Hyundai Elantra Touring Hatchback 2012,smart fortwo Convertible 2012
7310,Dodge Sprinter Cargo Van 2009,17.7,Land Rover LR2 SUV 2012,BMW X5 SUV 2007
7311,Hyundai Genesis Sedan 2012,61.1,Chrysler PT Cruiser Convertible 2008,Buick Enclave SUV 2012
7312,Bugatti Veyron 16.4 Convertible 2009,31.0,Rolls-Royce Phantom Sedan 2012,Nissan NV Passenger Van 2012
7313,Volvo XC90 SUV 2007,22.0,Chrysler 300 SRT-8 2010,Chrysler Sebring Convertible 2010
7314,Dodge Dakota Club Cab 2007,42.2,Chrysler Aspen SUV 2009,Mazda Tribute SUV 2011
7315,FIAT 500 Abarth 2012,80.9,Hyundai Veloster Hatchback 2012,MINI Cooper Roadster Convertible 2012
7316,MINI Cooper Roadster Convertible 2012,85.5,Cadillac Escalade EXT Crew Cab 2007,Ford Mustang Convertible 2007
7317,BMW Z4 Convertible 2012,50.4,Ford GT Coupe 2006,Chevrolet Corvette ZR1 2012
7318,Chevrolet Sonic Sedan 2012,18.6,Plymouth Neon Coupe 1999,Nissan Leaf Hatchback 2012
7319,Ferrari 458 Italia Coupe 2012,41.8,Ferrari 458 Italia Convertible 2012,Ford GT Coupe 2006
7320,Dodge Caravan Minivan 1997,48.9,Honda Accord Sedan 2012,Isuzu Ascender SUV 2008
7321,Chevrolet Silverado 1500 Extended Cab 2012,37.0,Chevrolet Silverado 2500HD Regular Cab 2012,Chevrolet Silverado 1500 Hybrid Crew Cab 2012
7322,Nissan Juke Hatchback 2012,26.0,Audi S5 Convertible 2012,Bentley Continental GT Coupe 2012
7323,Dodge Durango SUV 2012,97.0,Ford Edge SUV 2012,Chrysler PT Cruiser Convertible 2008
7324,Nissan NV Passenger Van 2012,99.2,GMC Savana Van 2012,Jeep Liberty SUV 2012
7325,Chevrolet Tahoe Hybrid SUV 2012,30.6,Honda Odyssey Minivan 2012,Chevrolet Traverse SUV 2012
7326,Jeep Wrangler SUV 2012,96.8,Aston Martin Virage Coupe 2012,Bentley Continental GT Coupe 2012
7327,Hyundai Genesis Sedan 2012,47.4,Cadillac CTS-V Sedan 2012,Hyundai Veracruz SUV 2012
7328,Volvo 240 Sedan 1993,92.1,Hyundai Genesis Sedan 2012,Volvo C30 Hatchback 2012
7329,Spyker C8 Convertible 2009,44.4,Nissan NV Passenger Van 2012,Daewoo Nubira Wagon 2002
7330,Audi S4 Sedan 2007,33.4,Ford GT Coupe 2006,Hyundai Veloster Hatchback 2012
7331,Chrysler Town and Country Minivan 2012,40.3,Chrysler Aspen SUV 2009,Hyundai Genesis Sedan 2012
7332,Audi TTS Coupe 2012,21.9,Acura RL Sedan 2012,Hyundai Tucson SUV 2012
7333,Rolls-Royce Ghost Sedan 2012,65.4,Audi RS 4 Convertible 2008,Volvo XC90 SUV 2007
7334,Mercedes-Benz Sprinter Van 2012,93.7,Daewoo Nubira Wagon 2002,Nissan NV Passenger Van 2012
7335,Hyundai Veloster Hatchback 2012,68.6,Land Rover Range Rover SUV 2012,Dodge Challenger SRT8 2011
7336,Volvo 240 Sedan 1993,68.2,Audi RS 4 Convertible 2008,Jaguar XK XKR 2012
7337,Chevrolet Sonic Sedan 2012,40.6,Infiniti G Coupe IPL 2012,Nissan Leaf Hatchback 2012
7338,Dodge Durango SUV 2012,63.5,Mercedes-Benz Sprinter Van 2012,Mercedes-Benz C-Class Sedan 2012
7339,Hyundai Sonata Sedan 2012,29.9,Honda Odyssey Minivan 2012,Hyundai Veracruz SUV 2012
7340,Ford Expedition EL SUV 2009,90.1,Volvo XC90 SUV 2007,Chrysler 300 SRT-8 2010
7341,Audi S5 Convertible 2012,34.1,BMW X3 SUV 2012,MINI Cooper Roadster Convertible 2012
7342,Chevrolet Corvette Ron Fellows Edition Z06 2007,46.1,HUMMER H3T Crew Cab 2010,AM General Hummer SUV 2000
7343,Hyundai Veloster Hatchback 2012,21.3,Ford Edge SUV 2012,Hyundai Veracruz SUV 2012
7344,Hyundai Sonata Sedan 2012,55.5,Ford Expedition EL SUV 2009,Land Rover LR2 SUV 2012
7345,Audi TTS Coupe 2012,39.9,smart fortwo Convertible 2012,Audi S4 Sedan 2007
7346,smart fortwo Convertible 2012,38.2,Nissan NV Passenger Van 2012,Ford GT Coupe 2006
7347,Hyundai Veracruz SUV 2012,27.8,Ford Edge SUV 2012,Hyundai Genesis Sedan 2012
7348,Chrysler Town and Country Minivan 2012,44.1,Suzuki SX4 Hatchback 2012,Honda Odyssey Minivan 2012
7349,BMW 1 Series Coupe 2012,18.3,Chevrolet Avalanche Crew Cab 2012,Audi 100 Sedan 1994
7350,Dodge Ram Pickup 3500 Quad Cab 2009,79.9,Ford F-450 Super Duty Crew Cab 2012,Mercedes-Benz 300-Class Convertible 1993
7351,Audi S4 Sedan 2007,23.5,Ford Fiesta Sedan 2012,Aston Martin V8 Vantage Convertible 2012
7352,Hyundai Sonata Sedan 2012,19.4,Hyundai Veracruz SUV 2012,Ford Fiesta Sedan 2012
7353,BMW X6 SUV 2012,20.5,Ferrari 458 Italia Coupe 2012,BMW M5 Sedan 2010
7354,Spyker C8 Coupe 2009,46.4,Acura Integra Type R 2001,Maybach Landaulet Convertible 2012
7355,HUMMER H3T Crew Cab 2010,19.5,Ford Mustang Convertible 2007,Suzuki SX4 Sedan 2012
7356,Cadillac CTS-V Sedan 2012,93.6,Aston Martin Virage Convertible 2012,BMW 1 Series Convertible 2012
7357,McLaren MP4-12C Coupe 2012,90.1,Chevrolet Corvette ZR1 2012,Audi RS 4 Convertible 2008
7358,Chevrolet Sonic Sedan 2012,61.6,Mercedes-Benz Sprinter Van 2012,Nissan Leaf Hatchback 2012
7359,Mercedes-Benz C-Class Sedan 2012,20.5,Spyker C8 Convertible 2009,Bugatti Veyron 16.4 Coupe 2009
7360,Plymouth Neon Coupe 1999,39.6,Volkswagen Golf Hatchback 1991,Daewoo Nubira Wagon 2002
7361,Audi TT RS Coupe 2012,18.4,Audi S4 Sedan 2012,Jaguar XK XKR 2012
7362,Cadillac CTS-V Sedan 2012,34.2,Audi S4 Sedan 2007,Audi S5 Coupe 2012
7363,Hyundai Veloster Hatchback 2012,81.7,Volkswagen Beetle Hatchback 2012,Audi RS 4 Convertible 2008
7364,Dodge Caliber Wagon 2007,97.1,Dodge Caliber Wagon 2012,BMW M5 Sedan 2010
7365,Aston Martin V8 Vantage Convertible 2012,26.8,FIAT 500 Abarth 2012,Bentley Arnage Sedan 2009
7366,GMC Canyon Extended Cab 2012,29.8,AM General Hummer SUV 2000,Dodge Durango SUV 2007
7367,Volvo XC90 SUV 2007,49.0,Mercedes-Benz C-Class Sedan 2012,BMW 6 Series Convertible 2007
7368,BMW ActiveHybrid 5 Sedan 2012,40.5,Mercedes-Benz E-Class Sedan 2012,Mercedes-Benz S-Class Sedan 2012
7369,Mercedes-Benz E-Class Sedan 2012,46.2,Chrysler 300 SRT-8 2010,Audi RS 4 Convertible 2008
7370,Land Rover Range Rover SUV 2012,43.3,Dodge Durango SUV 2012,Audi S4 Sedan 2007
7371,Audi RS 4 Convertible 2008,92.8,Aston Martin V8 Vantage Convertible 2012,Dodge Charger Sedan 2012
7372,Chrysler 300 SRT-8 2010,97.9,Audi S4 Sedan 2007,Land Rover Range Rover SUV 2012
7373,Volvo 240 Sedan 1993,62.2,Volkswagen Golf Hatchback 1991,Daewoo Nubira Wagon 2002
7374,Cadillac Escalade EXT Crew Cab 2007,42.5,Volvo XC90 SUV 2007,Dodge Durango SUV 2012
7375,Mercedes-Benz E-Class Sedan 2012,37.3,Dodge Durango SUV 2012,Chrysler 300 SRT-8 2010
7376,Rolls-Royce Phantom Sedan 2012,97.3,Chrysler 300 SRT-8 2010,Lamborghini Reventon Coupe 2008
7377,Dodge Sprinter Cargo Van 2009,73.6,Volkswagen Golf Hatchback 1991,Suzuki SX4 Hatchback 2012
7378,Aston Martin V8 Vantage Convertible 2012,79.9,Jeep Compass SUV 2012,Cadillac Escalade EXT Crew Cab 2007
7379,Ford GT Coupe 2006,65.4,Hyundai Elantra Touring Hatchback 2012,Spyker C8 Coupe 2009
7380,Nissan NV Passenger Van 2012,34.7,FIAT 500 Convertible 2012,Acura Integra Type R 2001
7381,Plymouth Neon Coupe 1999,21.7,Volvo 240 Sedan 1993,Dodge Magnum Wagon 2008
7382,Hyundai Sonata Sedan 2012,12.1,GMC Acadia SUV 2012,Volvo XC90 SUV 2007
7383,BMW ActiveHybrid 5 Sedan 2012,48.8,Suzuki Aerio Sedan 2007,Hyundai Genesis Sedan 2012
7384,Hyundai Genesis Sedan 2012,43.9,BMW M5 Sedan 2010,Aston Martin V8 Vantage Convertible 2012
7385,Acura Integra Type R 2001,96.8,Hyundai Veloster Hatchback 2012,Volvo C30 Hatchback 2012
7386,Audi S4 Sedan 2012,43.2,Spyker C8 Coupe 2009,Dodge Sprinter Cargo Van 2009
7387,Toyota Sequoia SUV 2012,22.6,Ford Freestar Minivan 2007,BMW X5 SUV 2007
7388,Ford Freestar Minivan 2007,44.1,Honda Odyssey Minivan 2012,Daewoo Nubira Wagon 2002
7389,Spyker C8 Coupe 2009,95.4,Jaguar XK XKR 2012,Jeep Grand Cherokee SUV 2012
7390,Honda Accord Coupe 2012,22.1,Dodge Magnum Wagon 2008,Aston Martin V8 Vantage Convertible 2012
7391,Mercedes-Benz 300-Class Convertible 1993,66.7,Bentley Arnage Sedan 2009,Isuzu Ascender SUV 2008
7392,AM General Hummer SUV 2000,29.5,Dodge Ram Pickup 3500 Crew Cab 2010,Bentley Arnage Sedan 2009
7393,Scion xD Hatchback 2012,48.3,Nissan Leaf Hatchback 2012,Acura Integra Type R 2001
7394,Audi RS 4 Convertible 2008,45.2,Dodge Challenger SRT8 2011,Hyundai Veloster Hatchback 2012
7395,Dodge Dakota Club Cab 2007,23.9,Ford F-150 Regular Cab 2007,Land Rover LR2 SUV 2012
7396,Spyker C8 Coupe 2009,57.4,Ferrari 458 Italia Coupe 2012,Volvo C30 Hatchback 2012
7397,BMW 1 Series Coupe 2012,49.8,Audi TT Hatchback 2011,Audi RS 4 Convertible 2008
7398,Ferrari 458 Italia Convertible 2012,39.9,Ferrari 458 Italia Coupe 2012,Nissan Leaf Hatchback 2012
7399,Hyundai Veloster Hatchback 2012,48.0,Dodge Charger SRT-8 2009,Bentley Continental GT Coupe 2012
7400,GMC Acadia SUV 2012,51.4,GMC Savana Van 2012,Mazda Tribute SUV 2011
7401,McLaren MP4-12C Coupe 2012,83.7,Hyundai Veloster Hatchback 2012,Audi RS 4 Convertible 2008
7402,Mitsubishi Lancer Sedan 2012,54.7,Spyker C8 Coupe 2009,Eagle Talon Hatchback 1998
7403,GMC Canyon Extended Cab 2012,23.4,Mercedes-Benz 300-Class Convertible 1993,Ford Ranger SuperCab 2011
7404,Aston Martin Virage Convertible 2012,28.8,Ford Mustang Convertible 2007,Aston Martin V8 Vantage Convertible 2012
7405,Jeep Compass SUV 2012,51.6,Volvo XC90 SUV 2007,Volkswagen Golf Hatchback 1991
7406,Suzuki Aerio Sedan 2007,21.3,Chrysler Sebring Convertible 2010,Daewoo Nubira Wagon 2002
7407,Daewoo Nubira Wagon 2002,61.3,Bentley Arnage Sedan 2009,Audi S6 Sedan 2011
7408,Dodge Charger SRT-8 2009,40.0,Eagle Talon Hatchback 1998,Spyker C8 Coupe 2009
7409,Chrysler Aspen SUV 2009,58.6,Hyundai Santa Fe SUV 2012,Chrysler PT Cruiser Convertible 2008
7410,Dodge Challenger SRT8 2011,65.0,Tesla Model S Sedan 2012,Aston Martin V8 Vantage Convertible 2012
7411,Audi S6 Sedan 2011,28.5,Mercedes-Benz S-Class Sedan 2012,BMW 1 Series Coupe 2012
7412,Dodge Sprinter Cargo Van 2009,28.9,Mercedes-Benz Sprinter Van 2012,Suzuki Aerio Sedan 2007
7413,Volvo C30 Hatchback 2012,54.1,Mercedes-Benz E-Class Sedan 2012,Spyker C8 Convertible 2009
7414,Ferrari California Convertible 2012,48.0,Chevrolet Corvette ZR1 2012,Chevrolet Corvette Convertible 2012
7415,FIAT 500 Abarth 2012,42.8,Mercedes-Benz E-Class Sedan 2012,Chrysler 300 SRT-8 2010
7416,Spyker C8 Coupe 2009,77.8,Mitsubishi Lancer Sedan 2012,FIAT 500 Abarth 2012
7417,BMW ActiveHybrid 5 Sedan 2012,12.8,MINI Cooper Roadster Convertible 2012,Cadillac CTS-V Sedan 2012
7418,Suzuki SX4 Hatchback 2012,22.0,Chevrolet HHR SS 2010,Tesla Model S Sedan 2012
7419,Suzuki SX4 Sedan 2012,65.0,Mercedes-Benz E-Class Sedan 2012,Mitsubishi Lancer Sedan 2012
7420,Hyundai Veloster Hatchback 2012,66.5,Nissan 240SX Coupe 1998,Ford GT Coupe 2006
7421,Suzuki SX4 Sedan 2012,30.8,Dodge Challenger SRT8 2011,Dodge Sprinter Cargo Van 2009
7422,Audi A5 Coupe 2012,28.9,Audi S6 Sedan 2011,BMW Z4 Convertible 2012
7423,Cadillac Escalade EXT Crew Cab 2007,60.9,GMC Acadia SUV 2012,Dodge Durango SUV 2007
7424,Volvo C30 Hatchback 2012,47.0,Dodge Charger SRT-8 2009,Aston Martin Virage Coupe 2012
7425,Daewoo Nubira Wagon 2002,95.6,Tesla Model S Sedan 2012,Audi TTS Coupe 2012
7426,BMW X5 SUV 2007,49.4,Audi V8 Sedan 1994,Jeep Compass SUV 2012
7427,Aston Martin V8 Vantage Convertible 2012,21.7,Audi S4 Sedan 2012,Bentley Arnage Sedan 2009
7428,Chrysler 300 SRT-8 2010,48.0,Volvo XC90 SUV 2007,Ford E-Series Wagon Van 2012
7429,Bentley Arnage Sedan 2009,75.9,Volvo XC90 SUV 2007,Isuzu Ascender SUV 2008
7430,smart fortwo Convertible 2012,22.5,Audi S4 Sedan 2007,Chevrolet Cobalt SS 2010
7431,Audi RS 4 Convertible 2008,99.6,Chevrolet Corvette ZR1 2012,BMW M5 Sedan 2010
7432,Chrysler 300 SRT-8 2010,34.2,Volvo 240 Sedan 1993,Audi 100 Sedan 1994
7433,Chevrolet Sonic Sedan 2012,28.4,Ram C/V Cargo Van Minivan 2012,Chevrolet Malibu Sedan 2007
7434,GMC Acadia SUV 2012,50.2,Ford Freestar Minivan 2007,Dodge Durango SUV 2007
7435,Mercedes-Benz Sprinter Van 2012,77.9,Daewoo Nubira Wagon 2002,Dodge Sprinter Cargo Van 2009
7436,Aston Martin Virage Convertible 2012,32.1,Jaguar XK XKR 2012,Lamborghini Reventon Coupe 2008
7437,Ford F-150 Regular Cab 2012,40.5,Ford Expedition EL SUV 2009,Chrysler Aspen SUV 2009
7438,Hyundai Genesis Sedan 2012,27.5,Hyundai Azera Sedan 2012,Infiniti G Coupe IPL 2012
7439,Volvo C30 Hatchback 2012,38.9,Hyundai Veracruz SUV 2012,Spyker C8 Coupe 2009
7440,Audi S6 Sedan 2011,26.2,Daewoo Nubira Wagon 2002,Dodge Challenger SRT8 2011
7441,Bentley Continental GT Coupe 2012,32.2,Audi RS 4 Convertible 2008,Bentley Continental GT Coupe 2007
7442,Chrysler Sebring Convertible 2010,16.4,Honda Accord Sedan 2012,Toyota Camry Sedan 2012
7443,Dodge Durango SUV 2007,44.3,Volvo 240 Sedan 1993,AM General Hummer SUV 2000
7444,Aston Martin Virage Convertible 2012,47.8,Dodge Challenger SRT8 2011,Audi RS 4 Convertible 2008
7445,Ferrari FF Coupe 2012,82.4,Mercedes-Benz E-Class Sedan 2012,Chrysler 300 SRT-8 2010
7446,AM General Hummer SUV 2000,96.4,HUMMER H2 SUT Crew Cab 2009,Jeep Wrangler SUV 2012
7447,Bugatti Veyron 16.4 Coupe 2009,58.6,Nissan NV Passenger Van 2012,Bugatti Veyron 16.4 Convertible 2009
7448,Hyundai Elantra Sedan 2007,34.6,Chevrolet Malibu Sedan 2007,Chrysler Town and Country Minivan 2012
7449,Chevrolet Corvette ZR1 2012,90.1,Jaguar XK XKR 2012,Chevrolet Corvette Convertible 2012
7450,GMC Canyon Extended Cab 2012,35.3,Dodge Dakota Club Cab 2007,Isuzu Ascender SUV 2008
7451,Aston Martin V8 Vantage Convertible 2012,44.7,Aston Martin V8 Vantage Coupe 2012,smart fortwo Convertible 2012
7452,Jeep Compass SUV 2012,62.2,Bentley Continental GT Coupe 2007,Volvo 240 Sedan 1993
7453,Jeep Compass SUV 2012,60.1,Jeep Patriot SUV 2012,BMW X5 SUV 2007
7454,Nissan Leaf Hatchback 2012,32.1,Chevrolet Corvette ZR1 2012,BMW 3 Series Sedan 2012
7455,Tesla Model S Sedan 2012,23.9,Audi TT Hatchback 2011,Acura ZDX Hatchback 2012
7456,Mercedes-Benz 300-Class Convertible 1993,97.6,Chevrolet Silverado 2500HD Regular Cab 2012,Chrysler 300 SRT-8 2010
7457,Suzuki SX4 Hatchback 2012,33.8,Daewoo Nubira Wagon 2002,Ram C/V Cargo Van Minivan 2012
7458,BMW X5 SUV 2007,43.1,Dodge Challenger SRT8 2011,BMW M6 Convertible 2010
7459,Toyota 4Runner SUV 2012,35.1,GMC Yukon Hybrid SUV 2012,Ford F-150 Regular Cab 2012
7460,Infiniti G Coupe IPL 2012,35.8,Fisker Karma Sedan 2012,Hyundai Azera Sedan 2012
7461,Daewoo Nubira Wagon 2002,20.9,Chevrolet Sonic Sedan 2012,Ford F-150 Regular Cab 2007
7462,Ford Focus Sedan 2007,27.1,Honda Accord Sedan 2012,Ford Freestar Minivan 2007
7463,Nissan NV Passenger Van 2012,27.1,Daewoo Nubira Wagon 2002,Chrysler Town and Country Minivan 2012
7464,Bentley Arnage Sedan 2009,90.2,AM General Hummer SUV 2000,Isuzu Ascender SUV 2008
7465,FIAT 500 Convertible 2012,38.6,Nissan Juke Hatchback 2012,smart fortwo Convertible 2012
7466,Spyker C8 Coupe 2009,73.2,BMW M6 Convertible 2010,Hyundai Accent Sedan 2012
7467,BMW M5 Sedan 2010,40.8,Hyundai Azera Sedan 2012,Mitsubishi Lancer Sedan 2012
7468,Infiniti G Coupe IPL 2012,24.1,Porsche Panamera Sedan 2012,Audi RS 4 Convertible 2008
7469,Volkswagen Golf Hatchback 1991,82.7,Audi 100 Wagon 1994,Dodge Challenger SRT8 2011
7470,Aston Martin V8 Vantage Convertible 2012,62.5,Dodge Challenger SRT8 2011,Dodge Caliber Wagon 2012
7471,Dodge Charger SRT-8 2009,31.8,Honda Accord Coupe 2012,BMW 1 Series Coupe 2012
7472,Dodge Ram Pickup 3500 Crew Cab 2010,61.4,Jeep Grand Cherokee SUV 2012,HUMMER H3T Crew Cab 2010
7473,Dodge Durango SUV 2012,93.7,Volvo XC90 SUV 2007,Chrysler 300 SRT-8 2010
7474,Volvo 240 Sedan 1993,70.6,Ford Ranger SuperCab 2011,GMC Canyon Extended Cab 2012
7475,Nissan NV Passenger Van 2012,71.7,Ford E-Series Wagon Van 2012,Jeep Liberty SUV 2012
7476,FIAT 500 Abarth 2012,65.7,Lamborghini Reventon Coupe 2008,Aston Martin Virage Convertible 2012
7477,Honda Accord Coupe 2012,31.3,Chevrolet HHR SS 2010,BMW 1 Series Coupe 2012
7478,Volvo 240 Sedan 1993,89.4,Nissan NV Passenger Van 2012,Audi S4 Sedan 2007
7479,Hyundai Veloster Hatchback 2012,74.4,Chevrolet Corvette ZR1 2012,Ferrari 458 Italia Convertible 2012
7480,BMW 3 Series Wagon 2012,21.0,Dodge Magnum Wagon 2008,Mercedes-Benz C-Class Sedan 2012
7481,Dodge Caliber Wagon 2007,56.7,BMW 1 Series Coupe 2012,Mitsubishi Lancer Sedan 2012
7482,Honda Accord Coupe 2012,41.0,BMW 3 Series Sedan 2012,Dodge Magnum Wagon 2008
7483,Rolls-Royce Phantom Sedan 2012,74.3,Spyker C8 Coupe 2009,Lamborghini Reventon Coupe 2008
7484,Bentley Arnage Sedan 2009,45.4,Audi RS 4 Convertible 2008,Dodge Durango SUV 2012
7485,Audi RS 4 Convertible 2008,46.7,Cadillac Escalade EXT Crew Cab 2007,Bentley Arnage Sedan 2009
7486,Nissan Leaf Hatchback 2012,47.7,Mercedes-Benz 300-Class Convertible 1993,Ford Focus Sedan 2007
7487,Suzuki SX4 Hatchback 2012,51.4,Volkswagen Beetle Hatchback 2012,Nissan Leaf Hatchback 2012
7488,Lamborghini Reventon Coupe 2008,35.3,Chevrolet Corvette Ron Fellows Edition Z06 2007,Nissan 240SX Coupe 1998
